Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,1760.000000,1762.489990,1707.140015,1726.130005,1726.130005,1866200
2021-01-05,1725.089966,1746.829956,1716.900024,1740.050049,1740.050049,1018000
2021-01-06,1700.260010,1743.969971,1696.099976,1722.880005,1722.880005,2329400
2021-01-07,1726.760010,1777.819946,1726.760010,1774.339966,1774.339966,2096800
2021-01-08,1777.160034,1799.359985,1761.219971,1797.829956,1797.829956,1774200
2021-01-11,1777.020020,1784.380005,1752.140015,1756.290039,1756.290039,1739800
2021-01-12,1745.359985,1767.900024,1716.380005,1737.430054,1737.430054,1476400
2021-01-13,1727.319946,1756.390015,1727.319946,1747.250000,1747.250000,1171600
2021-01-14,1748.869995,1767.550049,1726.069946,1730.920044,1730.920044,1460600
2021-01-15,1729.020020,1747.619995,1711.709961,1727.619995,1727.619995,1572200
2021-01-19,1743.000000,1803.839966,1732.829956,1784.469971,1784.469971,2083000
2021-01-20,1826.369995,1899.719971,1819.510010,1880.069946,1880.069946,3207600
2021-01-21,1893.650024,1932.079956,1879.410034,1884.150024,1884.150024,2931700
2021-01-22,1891.459961,1904.390015,1876.500000,1892.560059,1892.560059,1637200
2021-01-25,1912.739990,1921.819946,1859.160034,1894.280029,1894.280029,2529300
2021-01-26,1885.989990,1915.750000,1876.130005,1907.949951,1907.949951,1573100
2021-01-27,1874.910034,1880.469971,1797.280029,1818.939941,1818.939941,4125600
2021-01-28,1831.000000,1887.989990,1831.000000,1853.199951,1853.199951,2763900
2021-01-29,1834.020020,1847.540039,1801.560059,1827.359985,1827.359985,2226500
2021-02-01,1844.589966,1915.540039,1844.589966,1893.069946,1893.069946,2012600
2021-02-02,1913.130005,1949.369995,1906.369995,1919.119995,1919.119995,3316600
2021-02-03,2065.610107,2106.620117,2013.550049,2058.879883,2058.879883,4894100
2021-02-04,2060.620117,2069.300049,2035.099976,2053.629883,2053.629883,2429800
2021-02-05,2059.560059,2095.939941,2050.000000,2088.830078,2088.830078,1493300
2021-02-08,2100.000000,2115.000000,2063.350098,2084.520020,2084.520020,1441400
2021-02-09,2074.800049,2098.510010,2070.000000,2075.389893,2075.389893,1094600
2021-02-10,2083.139893,2098.879883,2052.239990,2086.479980,2086.479980,1255100
2021-02-11,2091.000000,2094.000000,2068.860107,2088.750000,2088.750000,1024000
2021-02-12,2079.770020,2099.500000,2073.570068,2095.030029,2095.030029,949500
2021-02-16,2091.750000,2145.139893,2091.750000,2110.699951,2110.699951,1550200
2021-02-17,2093.979980,2122.439941,2088.350098,2118.620117,2118.620117,1014700
2021-02-18,2105.000000,2121.989990,2093.330078,2105.810059,2105.810059,1127300
2021-02-19,2107.790039,2118.580078,2083.429932,2088.810059,2088.810059,1896900
2021-02-22,2053.600098,2080.330078,2048.000000,2054.260010,2054.260010,1473300
2021-02-23,2013.989990,2072.500000,1990.229980,2060.120117,2060.120117,1732900
2021-02-24,2030.040039,2088.320068,2027.530029,2083.810059,2083.810059,1130400
2021-02-25,2055.929932,2083.000000,2006.489990,2015.949951,2015.949951,2077400
2021-02-26,2029.949951,2056.520020,2001.010010,2021.910034,2021.910034,2002100
2021-03-01,2048.000000,2076.229980,2034.420044,2069.659912,2069.659912,1303000
2021-03-02,2064.840088,2094.739990,2056.669922,2064.479980,2064.479980,1278200
2021-03-03,2051.949951,2075.989990,1994.000000,2011.410034,2011.410034,1694600
2021-03-04,2014.869995,2074.590088,2005.430054,2033.930054,2033.930054,2460800
2021-03-05,2061.149902,2106.199951,2027.780029,2097.070068,2097.070068,2655000
2021-03-08,2084.060059,2113.739990,2005.189941,2007.500000,2007.500000,1843400
2021-03-09,2049.750000,2063.919922,2035.599976,2040.359985,2040.359985,1696000
2021-03-10,2061.399902,2061.399902,2019.329956,2036.189941,2036.189941,1355000
2021-03-11,2058.219971,2111.270020,2056.449951,2100.540039,2100.540039,1385100
2021-03-12,2076.409912,2077.610107,2032.420044,2050.000000,2050.000000,1690900
2021-03-15,2044.979980,2054.989990,2027.790039,2054.439941,2054.439941,1308400
2021-03-16,2065.989990,2113.679932,2059.290039,2083.889893,2083.889893,1595000
2021-03-17,2068.469971,2099.000000,2044.119995,2082.219971,2082.219971,1319100
2021-03-18,2048.179932,2068.750000,2019.180054,2021.339966,2021.339966,1585000
2021-03-19,2029.729980,2037.040039,2002.930054,2026.959961,2026.959961,2303600
2021-03-22,2027.630005,2048.340088,2014.000000,2030.689941,2030.689941,1676800
2021-03-23,2039.949951,2064.110107,2028.000000,2041.329956,2041.329956,1425500
2021-03-24,2051.760010,2067.600098,2029.000000,2032.530029,2032.530029,1260900
2021-03-25,2029.050049,2045.640015,1996.089966,2032.459961,2032.459961,1780800
2021-03-26,2031.790039,2039.390015,2003.849976,2024.729980,2024.729980,1398900
2021-03-29,2022.160034,2049.209961,2005.449951,2045.790039,2045.790039,1324600
2021-03-30,2052.979980,2062.669922,2036.150024,2046.469971,2046.469971,1365600
2021-03-31,2054.399902,2086.260010,2047.000000,2062.520020,2062.520020,2128500
2021-04-01,2092.250000,2135.750000,2091.429932,2129.780029,2129.780029,1994000
2021-04-05,2147.149902,2228.989990,2145.209961,2218.959961,2218.959961,2425500
2021-04-06,2210.919922,2228.000000,2201.790039,2209.260010,2209.260010,1762000
2021-04-07,2213.100098,2244.500000,2213.100098,2239.030029,2239.030029,1206700
2021-04-08,2264.000000,2271.790039,2243.010010,2250.429932,2250.429932,1433200
2021-04-09,2245.439941,2273.969971,2237.260010,2270.669922,2270.669922,1307300
